##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
7.540000, 35.98383
7.550000, 12.97726
7.560000, 4.4342000E-02
7.570000, 12.93420
7.580000, 17.91298
7.590000, 8.905754
7.600000, 14.88577
7.610000, 20.98735
7.620000, 19.96779
7.630000, 15.94843
7.640000, 36.92931
7.650000, 4.911385
7.660000, 16.89368
7.670000, 23.87630
7.680000, 35.85959
7.690000, 4.156914
7.700000, 15.82483
7.710000, 20.80679
7.720000, 4.211044
7.730000, 23.76935
7.740000, 15.31099
7.750000, 34.29179
7.760000, 16.27280
7.770000, 10.25399
7.780000, 32.23544
7.790000, 9.217094
7.800000, 28.19894
7.810000, 3.180992
7.820000, 14.16323
7.830000, 0.1456680
7.840000, 15.12876
7.850000, 13.11208
7.860000, 15.09560
7.870000, 39.07940
7.880000, 12.06346
7.890000, 29.22876
7.900000, 6.213242
7.910000, 32.19796
7.920000, 11.18289
7.930000, 21.16490
7.940000, 33.15025
7.950000, 19.13580
7.960000, 5.121536
7.970000, 18.22339
7.980000, 19.20952
7.990000, 15.19583
8.000000, 6.182327
8.010000, 17.16901
8.020000, 29.15588
8.030000, 26.14293
8.040000, 50.13019
8.050000, 24.11760
8.060000, 15.24429
8.070000, 10.18999
8.080000, 7.290802
8.090000, 7.279533
8.100000, 4.731499
8.110000, 18.25513
8.120000, 13.24196
8.130000, 19.22896
8.140000, 17.21616
8.150000, 35.26346
8.160000, 28.25107
8.170000, 27.23885
8.180000, 13.22681
8.190000, 20.21495
8.200000, 24.20329
8.210000, 16.19180
8.220000, 22.18049
8.230000, 12.17166
8.240000, 35.97771
8.250000, 6.969269
8.260000, 14.96103
8.270000, 29.95297
8.280000, 12.94512
8.290000, 9.939285
8.300000, 15.93364
8.310000, 10.92990
8.320000, 27.92635
8.330000, 22.92299
8.340000, 17.91982
8.350000, 14.91685
8.360000, 26.91417
8.370000, 6.088318
8.380000, 21.90618
8.390000, 3.900864
8.400000, 16.89574
8.410000, 6.890793
8.420000, 18.88605
8.430000, 25.72571
8.440000, 5.721657
8.450000, 4.717812
8.460000, 24.71417
8.470000, 24.71074
8.480000, 27.70750
8.490000, 10.70448
8.500000, 15.70164
8.510000, 10.69901
8.520000, 13.69657
8.530000, 25.69434
8.540000, 30.69231
8.550000, 14.63969
8.560000, 39.63805
8.570000, 18.58342
8.580000, 29.58218
8.590000, 23.83413
8.600000, 16.83329
8.610000, 14.83264
8.620000, 22.83218
8.630000, 7.831909
8.640000, 9.831818
8.650000, 11.83192
8.660000, 29.83220
8.670000, 12.83647
8.680000, 31.83712
8.690000, 12.83795
8.700000, 16.83897
8.710000, 32.84017
8.720000, 23.82051
8.730000, 18.82207
8.740000, 0.1743090
8.750000, 23.83127
8.760000, 21.83438
8.770000, 20.84032
8.780000, 0.1213610
8.790000, 21.88473
8.800000, 2.109009
8.810000, 4.896278
8.820000, 13.90174
8.830000, 17.90736
8.840000, 13.13206
8.850000, 18.13801
8.860000, 5.144104
8.870000, 8.241158
8.880000, 25.24754
8.890000, 16.03026
8.900000, 11.03693
8.910000, 16.04377
8.920000, 15.82390
8.930000, 9.168953
8.940000, 27.83356
8.950000, 19.83740
8.960000, 18.84140
8.970000, 36.84557
8.980000, 1.849892
8.990000, 10.85439
9.000000, 8.859039
9.010000, 3.863846
9.020000, 27.86882
9.030000, 15.87319
9.040000, 14.87910
9.050000, 32.88516
9.060000, 10.89138
9.070000, 14.89776
9.080000, 3.095718
9.090000, 14.90932
9.100000, 6.914513
9.110000, 7.919853
9.120000, 24.92533
9.130000, 21.93098
9.140000, 7.936768
9.150000, 25.94271
9.160000, 2.051208
9.170000, 11.95393
9.180000, 17.95922
9.190000, 1.964645
9.200000, 24.97021
9.210000, 6.975906
9.220000, 13.98175
9.230000, 28.98773
9.240000, 5.993843
9.250000, 2.999901
9.260000, 14.00568
9.270000, 1.988411
9.280000, 11.01926
9.290000, 8.027061
9.300000, 22.74637
9.310000, 9.754440
9.320000, 4.762657
9.330000, 8.771011
9.340000, 1.220482
9.350000, 0.7875600
9.360000, 28.79573
9.370000, 3.804047
9.380000, 7.812500
9.390000, 18.82140
9.400000, 26.83043
9.410000, 30.83960
9.420000, 21.38363
9.430000, 15.39551
9.440000, 22.40831
9.450000, 5.421227
9.460000, 10.43423
9.470000, 11.44733
9.480000, 21.46053
9.490000, 11.47383
9.500000, 41.87010
9.510000, 21.88398
