##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
##CELL PARAMETERS=a: 10.4424(8) b: 10.4424(8) c: 10.4424(8) alpha: 90 beta: 90 gamma: 90 volume: 1138.7(3) crystal system: cubic
6.380000, 7.970627
6.390000, 14.00566
6.400000, 11.04521
6.410000, 11.07526
6.420000, 1.118731
6.430000, 2.158285
6.440000, 1.197870
6.450000, 10.23708
6.460000, 4.276347
6.470000, 3.315589
6.480000, 9.354914
6.490000, 14.38891
6.500000, 14.42190
6.510000, 1.553635
6.520000, 7.479791
6.530000, 6.528345
6.540000, 13.56220
6.550000, 8.596319
6.560000, 3.622375
6.570000, 2.664795
6.580000, 5.699470
6.590000, 2.734300
6.600000, 7.894997
6.610000, 1.991194
6.620000, 14.02645
6.630000, 6.061846
6.640000, 5.097363
6.650000, 10.13300
6.660000, 4.168793
6.670000, 8.204685
6.680000, 10.28838
6.690000, 7.324487
6.700000, 4.386265
6.710000, 2.422856
6.720000, 17.45954
6.730000, 9.496301
6.740000, 11.52876
6.750000, 5.566216
6.760000, 11.60375
6.770000, 18.32642
6.780000, 8.364348
6.790000, 8.405629
6.800000, 14.44684
6.810000, 9.484954
6.820000, 0.5189610
6.830000, 10.50933
6.840000, 7.546812
6.850000, 7.584341
6.860000, 7.621926
6.870000, 7.659438
6.880000, 6.697002
6.890000, 10.73461
6.900000, 4.772269
6.910000, 0.8099570
6.920000, 3.847672
6.930000, 3.885427
6.940000, 5.923223
6.950000, 11.96106
6.960000, 5.999554
6.970000, 8.042166
6.980000, 8.190413
6.990000, 8.227753
7.000000, 8.265119
7.010000, 6.302520
7.020000, 5.339937
7.030000, 3.377545
7.040000, 5.415165
7.050000, 3.452794
7.060000, 18.49043
7.070000, 4.528084
7.080000, 1.434267
7.090000, 8.603004
7.100000, 10.64421
7.110000, 1.681497
7.120000, 2.722503
7.130000, 6.759816
7.140000, 7.798941
7.150000, 8.984027
7.160000, 14.02137
7.170000, 7.140562
7.180000, 1.177899
7.190000, 4.215223
7.200000, 7.252538
7.210000, 5.290257
7.220000, 6.327965
7.230000, 8.365656
7.240000, 5.412288
7.250000, 5.449495
7.260000, 2.486834
7.270000, 5.531212
7.280000, 6.568507
7.290000, 6.605765
7.300000, 12.64913
7.310000, 8.686324
7.320000, 9.729267
7.330000, 3.766393
7.340000, 6.803480
7.350000, 3.158155
7.360000, 0.8779650
7.370000, 3.914032
7.380000, 6.949146
7.390000, 1.989436
7.400000, 8.024336
7.410000, 5.059368
7.420000, 5.094357
7.430000, 6.129293
7.440000, 7.075168
7.450000, 4.110004
7.460000, 9.144778
7.470000, 5.179493
7.480000, 6.214140
7.490000, 5.248816
7.500000, 10.27985
7.510000, 2.314386
7.520000, 3.348845
7.530000, 8.383227
7.540000, 0.4037080
7.550000, 11.43790
7.560000, 14.47202
7.570000, 5.503794
7.580000, 5.537764
7.590000, 8.571680
7.600000, 1.605523
7.610000, 0.6393320
7.620000, 2.671598
7.630000, 7.705545
7.640000, 9.738388
7.650000, 9.772243
7.660000, 4.806021
7.670000, 4.842416
7.680000, 2.876089
7.690000, 10.90970
7.700000, 3.943315
7.710000, 3.883762
7.720000, 8.2699001E-02
7.730000, 1.950624
7.740000, 9.994830
7.750000, 6.028032
7.760000, 6.1212000E-02
7.770000, 10.09609
7.780000, 7.129046
7.790000, 1.838065
7.800000, 0.8063290
7.810000, 3.224792
7.820000, 6.255841
7.830000, 3.286819
7.840000, 4.317727
7.850000, 10.35555
7.860000, 5.387558
7.870000, 0.5817620
7.880000, 3.448408
7.890000, 0.5215020
7.900000, 3.573050
7.910000, 2.602662
7.920000, 3.632188
7.930000, 4.786352
7.940000, 5.816465
7.950000, 7.846410
7.960000, 2.875628
7.970000, 3.964134
7.980000, 0.9990860
7.990000, 1.029313
8.000000, 5.059409
8.010000, 14.08940
8.020000, 2.116504
8.030000, 5.146823
8.040000, 7.181209
8.050000, 5.211323
8.060000, 15.24133
8.070000, 2.271239
8.080000, 2.304935
8.090000, 11.33463
8.100000, 8.364249
8.110000, 4.392189
8.120000, 6.421879
8.130000, 7.451461
8.140000, 4.480933
8.150000, 1.510294
8.160000, 0.5395370
8.170000, 1.431375
8.180000, 5.596645
8.190000, 4.624573
8.200000, 9.655525
8.210000, 2.683234
8.220000, 5.748903
8.230000, 2.776385
8.240000, 5.803751
8.250000, 8.831000
8.260000, 1.858139
8.270000, 6.885159
8.280000, 5.822208
8.290000, 0.8490010
8.300000, 3.875646
8.310000, 0.9021770
8.320000, 1.928563
8.330000, 0.9548360
8.340000, 2.019020
8.350000, 6.008057
8.360000, 0.9672900
8.370000, 9.056533
8.380000, 8.078565
8.390000, 4.102161
8.400000, 3.222764
8.410000, 11.24612
8.420000, 4.269360
8.430000, 0.2924710
8.440000, 3.315366
8.450000, 4.369990
8.460000, 0.3926390
8.470000, 3.415092
8.480000, 5.437419
8.490000, 0.4596220
8.500000, 8.481645
8.510000, 0.5035460
8.520000, 7.525272
8.530000, 8.546881
8.540000, 1.568364
8.550000, 11.38135
8.560000, 5.399460
8.570000, 9.420574
8.580000, 0.4427440
8.590000, 4.463589
8.600000, 5.484326
8.610000, 5.504950
8.620000, 2.525458
8.630000, 0.5458540
8.640000, 4.567395
8.650000, 5.587933
8.660000, 3.608355
8.670000, 3.629400
8.680000, 2.670046
8.690000, 7.690122
8.700000, 3.710096
8.710000, 4.729955
8.720000, 3.749881
8.730000, 4.770109
8.740000, 3.785019
8.750000, 1.804669
8.760000, 5.824203
8.770000, 3.843633
8.780000, 4.862947
8.790000, 2.882146
8.800000, 1.901229
8.810000, 1.916275
8.820000, 9.009722
8.830000, 4.039820
8.840000, 4.058446
8.850000, 9.076955
8.860000, 1.105309
8.870000, 4.123554
8.880000, 5.141680
8.890000, 6.168478
8.900000, 3.186363
8.910000, 7.204535
8.920000, 3.207681
8.930000, 0.2256120
8.940000, 3.243313
8.950000, 6.260895
8.960000, 1.270431
8.970000, 6.287756
8.980000, 6.304961
8.990000, 6.196334
9.000000, 4.152234
9.010000, 4.169096
9.020000, 6.185849
9.030000, 7.202493
9.040000, 0.2190280
9.050000, 1.235380
9.060000, 2.251613
9.070000, 6.220047
9.080000, 4.236064
9.090000, 0.7921090
9.100000, 9.223126
9.110000, 4.238261
9.120000, 1.746709
9.130000, 1.274707
9.140000, 1.288452
9.150000, 4.302087
9.160000, 0.6843810
9.170000, 0.3285290
9.180000, 3.338157
9.190000, 6.347796
9.200000, 7.360472
9.210000, 1.441089
9.220000, 5.453558
9.230000, 0.4659170
9.240000, 6.478127
9.250000, 2.490226
9.260000, 3.502213
9.270000, 0.5140900
9.280000, 8.525822
9.290000, 7.542097
9.300000, 7.619040
9.310000, 1.630446
9.320000, 8.641738
9.330000, 14.65292
9.340000, 5.663980
9.350000, 2.673658
9.360000, 4.679153
9.370000, 4.578943
9.380000, 2.592858
9.390000, 0.6035030
9.400000, 5.614017
9.410000, 0.3755750
9.420000, 1.634385
9.430000, 7.644240
9.440000, 4.654377
9.450000, 6.664412
9.460000, 1.674333
9.470000, 5.684161
9.480000, 6.694283
9.490000, 7.700383
9.500000, 7.710300
9.510000, 4.716792
9.520000, 3.726889
9.530000, 6.735020
9.540000, 0.5987630
9.550000, 3.608664
9.560000, 2.536622
9.570000, 2.547844
9.580000, 6.557489
9.590000, 1.432952
9.600000, 2.575686
9.610000, 4.584241
9.620000, 6.592712
9.630000, 3.591692
9.640000, 0.4000010
9.650000, 4.607935
9.660000, 3.608734
9.670000, 2.616513
9.680000, 2.624216
9.690000, 9.626308
9.700000, 1.634460
9.710000, 8.636754
9.720000, 7.645812
9.730000, 5.653741
9.740000, 10.66029
9.750000, 1.668961
9.760000, 2.677574
9.770000, 0.6861170
9.780000, 4.689372
9.790000, 8.698615
9.800000, 1.706933
9.810000, 3.715182
9.820000, 1.723361
9.830000, 0.7267290
9.840000, 7.734760
9.850000, 2.742720
9.860000, 0.7506090
9.870000, 0.2415780
9.880000, 3.765971
9.890000, 3.773449
9.900000, 6.780921
9.910000, 1.829359
9.920000, 0.8371940
9.930000, 1.844453
9.940000, 2.851992
9.950000, 4.859460
9.960000, 3.866861
9.970000, 1.874191
9.980000, 2.881453
9.990000, 2.888649
10.00000, 8.896037
10.01000, 1.096885
10.02000, 9.0525001E-02
10.03000, 2.915973
10.04000, 3.922405
10.05000, 7.1227998E-02
10.06000, 4.932321
10.07000, 3.938451
10.08000, 5.5482998E-02
10.09000, 3.950421
10.10000, 3.956264
10.11000, 3.962040
10.12000, 4.967832
10.13000, 1.962624
10.14000, 1.968292
10.15000, 0.9738980
10.16000, 2.977632
10.17000, 2.983164
10.18000, 2.988636
10.19000, 1.994593
10.20000, 5.000763
10.21000, 12.00688
10.22000, 6.012931
10.23000, 1.018929
10.24000, 1.017874
10.25000, 1.022511
10.26000, 1.028340
10.27000, 5.034331
10.28000, 7.040267
10.29000, 4.981493
10.30000, 5.987527
10.31000, 1.993510
10.32000, 0.1252810
10.33000, 0.8798220
10.34000, 5.884956
10.35000, 0.8906800
10.36000, 0.8383140
10.37000, 1.867850
10.38000, 4.873471
10.39000, 3.879068
10.40000, 1.115374
10.41000, 4.889427
10.42000, 3.894316
10.43000, 1.895000
10.44000, 5.899860
10.45000, 8.904687
10.46000, 7.909477
10.47000, 3.910339
10.48000, 8.4939003E-02
10.49000, 1.080307
