##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
##CELL PARAMETERS=a: 4.7165(9) b: 10.3827(8) c: 6.0468(8) alpha: 90. beta: 90. gamma: 90. volume: 296.11(4) crystal system: orthorhombic
9.470, 11.671
9.480, 5.660
9.490, 3.647
9.500, 10.488
9.510, 5.475
9.520, 19.463
9.530, 10.450
9.540, 1.936
9.550, 1.423
9.560, 20.409
9.570, 12.395
9.580, 1.380
9.590, 6.203
9.600, 21.188
9.610, 17.173
9.620, 13.158
9.630, 4.144
9.640, 0.871
9.650, 6.115
9.660, 9.655
9.670, 11.640
9.680, 12.625
9.690, 19.610
9.700, 16.596
9.710, 1.419
9.720, 21.565
9.730, 21.551
9.740, 17.536
9.750, 0.478
9.760, 16.500
9.770, 10.487
9.780, 0.525
9.790, 16.659
9.800, 9.647
9.810, 23.286
9.820, 11.273
9.830, 1.263
9.840, 8.252
9.850, 12.240
9.860, 0.229
9.870, 13.219
9.880, 15.208
9.890, 2.102
9.900, 4.186
9.910, 6.174
9.920, 13.163
9.930, 7.151
9.940, 3.137
9.950, 16.127
9.960, 5.414
9.970, 1.372
9.980, 16.217
9.990, 1.808
10.000, 22.187
10.010, 9.172
10.020, 3.156
10.030, 0.835
10.040, 1.122
10.050, 6.105
10.060, 17.088
10.070, 14.070
10.080, 11.053
10.090, 5.944
10.100, 7.926
10.110, 1.168
10.120, 7.067
10.130, 14.048
10.140, 5.028
10.150, 11.009
10.160, 6.834
10.170, 1.815
10.180, 9.797
10.190, 0.206
10.200, 10.729
10.210, 7.747
10.220, 2.134
10.230, 1.296
10.240, 13.684
10.250, 14.664
10.260, 7.644
10.270, 3.623
10.280, 3.603
10.290, 0.583
10.300, 3.562
10.310, 5.543
10.320, 0.060
10.330, 2.051
10.340, 20.480
10.350, 4.458
10.360, 9.436
10.370, 0.017
10.380, 3.393
10.390, 14.370
10.400, 8.349
10.410, 11.326
10.420, 15.305
10.430, 8.569
10.440, 0.228
10.450, 7.523
10.460, 11.500
10.470, 2.476
10.480, 11.454
10.490, 7.432
10.500, 27.410
10.510, 2.388
10.520, 21.728
10.530, 8.706
10.540, 5.685
10.550, 7.664
10.560, 13.642
10.570, 6.621
