##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
10.81000, 83.70804
10.83000, 98.50253
10.85000, 112.9257
10.87000, 123.6877
10.89000, 121.9134
10.91000, 110.4749
10.93000, 98.52161
10.95000, 88.56635
10.97000, 75.42889
10.99000, 55.98279
11.01000, 39.27780
11.03000, 27.95190
11.05000, 15.03821
11.07000, 2.369507
11.09000, 2.595703
11.11000, 4.943207
11.13000, 13.25284
11.15000, 42.07120
11.17000, 87.37427
11.19000, 142.4335
11.21000, 226.0185
11.23000, 331.4350
11.25000, 456.2529
11.27000, 598.2743
11.29000, 754.5282
11.31000, 918.4243
11.33000, 1067.567
11.35000, 1205.556
11.37000, 1339.391
11.39000, 1457.060
11.41000, 1541.567
11.43000, 1584.209
11.45000, 1587.520
11.47000, 1550.836
11.49000, 1475.464
11.51000, 1368.875
11.53000, 1227.071
11.55000, 1052.534
11.57000, 906.0955
11.59000, 767.8451
11.61000, 635.5030
11.63000, 511.3241
11.65000, 395.5341
11.67000, 293.1049
11.69000, 211.1102
11.71000, 142.4400
11.73000, 80.97568
11.75000, 37.78625
11.77000, 11.00757
11.79000, 3.632141
11.81000, 11.69162
11.83000, 14.03485
11.85000, 6.749329
11.87000, 4.625824
11.89000, 26.29950
11.91000, 53.36227
11.93000, 84.23224
11.95000, 138.8343
11.97000, 212.7896
11.99000, 301.6221
12.01000, 421.6499
12.03000, 557.8200
12.05000, 727.8970
12.07000, 904.4901
12.09000, 1075.417
12.11000, 1248.844
12.13000, 1382.608
12.15000, 1503.563
12.17000, 1573.221
12.19000, 1605.357
12.21000, 1615.228
12.23000, 1558.535
12.25000, 1462.478
12.27000, 1357.844
12.29000, 1222.519
12.31000, 1101.471
12.33000, 994.6799
12.35000, 942.1644
12.37000, 955.1249
12.39000, 1034.592
12.41000, 1205.335
12.43000, 1393.354
12.45000, 1614.310
12.47000, 1870.513
12.49000, 2076.112
12.51000, 2297.307
12.53000, 2432.869
12.55000, 2531.838
12.57000, 2541.814
12.59000, 2475.815
12.61000, 2348.875
12.63000, 2163.420
12.65000, 1889.602
12.67000, 1629.041
12.69000, 1311.386
12.71000, 1039.825
12.73000, 779.3251
12.75000, 559.5891
12.77000, 398.2788
12.79000, 258.5439
12.81000, 168.9644
12.83000, 101.9498
12.85000, 62.77686
12.87000, 42.60773
12.89000, 30.00720
12.91000, 26.27252
12.93000, 24.65057
12.95000, 28.11749
12.97000, 41.20917
12.99000, 60.41943
13.01000, 78.99274
13.03000, 108.9313
13.05000, 156.6476
13.07000, 216.1835
13.09000, 290.7435
13.11000, 401.3016
13.13000, 524.5395
13.15000, 696.5290
13.17000, 878.9253
13.19000, 1112.259
13.21000, 1373.408
13.23000, 1623.975
13.25000, 1905.989
13.27000, 2178.039
13.29000, 2442.537
13.31000, 2663.440
13.33000, 2830.191
13.35000, 2920.229
13.37000, 2961.445
13.39000, 2933.895
13.41000, 2848.204
13.43000, 2716.339
13.45000, 2589.471
13.47000, 2447.310
13.49000, 2355.817
13.51000, 2291.158
13.53000, 2274.758
13.55000, 2291.233
13.57000, 2310.726
13.59000, 2359.466
13.61000, 2420.662
13.63000, 2481.404
13.65000, 2503.444
13.67000, 2504.580
13.69000, 2493.683
13.71000, 2459.853
13.73000, 2395.269
13.75000, 2290.683
13.77000, 2146.395
13.79000, 2037.868
13.81000, 1944.372
13.83000, 1855.959
13.85000, 1760.931
13.87000, 1659.937
13.89000, 1564.173
13.91000, 1462.420
13.93000, 1342.056
13.95000, 1240.804
13.97000, 1110.815
13.99000, 994.9680
14.01000, 899.8243
14.03000, 817.6183
14.05000, 771.6745
14.07000, 734.0616
14.09000, 727.2799
14.11000, 722.8104
14.13000, 729.9122
14.15000, 741.8931
14.17000, 765.4391
14.19000, 777.3248
14.21000, 781.2469
14.23000, 766.7272
14.25000, 738.7967
14.27000, 693.3481
14.29000, 665.9161
14.31000, 664.6003
14.33000, 671.8407
14.35000, 707.3075
14.37000, 760.3904
14.39000, 847.9297
14.41000, 943.5051
14.43000, 1053.274
14.45000, 1161.475
14.47000, 1250.684
14.49000, 1324.182
14.51000, 1371.768
14.53000, 1396.635
14.55000, 1380.822
14.57000, 1327.473
14.59000, 1244.827
14.61000, 1137.591
14.63000, 1024.014
14.65000, 911.5089
14.67000, 802.9273
14.69000, 719.0795
14.71000, 647.3329
14.73000, 587.3672
14.75000, 531.8006
14.77000, 506.1411
14.79000, 484.5271
14.81000, 453.0308
14.83000, 429.1329
14.85000, 393.9081
14.87000, 335.1608
14.89000, 272.4266
14.91000, 225.8923
14.93000, 187.3670
14.95000, 148.9307
14.97000, 106.2161
14.99000, 65.08521
15.01000, 32.42017
15.03000, 5.626831
15.05000, 5.931885
15.07000, 13.00958
15.09000, 18.90433
15.11000, 16.25934
15.13000, 17.76562
15.15000, 27.69778
15.17000, 34.71384
15.19000, 43.35385
15.21000, 44.98291
15.23000, 30.77594
15.25000, 17.30051
15.27000, 7.778687
15.29000, 37.45898
15.31000, 68.18427
15.33000, 94.28964
15.35000, 121.4900
15.37000, 151.6232
15.39000, 187.4323
15.41000, 202.4805
15.43000, 213.0309
15.45000, 211.5147
15.47000, 210.4806
15.49000, 196.4294
15.51000, 181.2420
15.53000, 156.6720
15.55000, 136.2167
