##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
##CELL PARAMETERS=a: 13.8704(3) b: 13.8704(3) c: 13.8704(3) alpha: 90 beta: 90 gamma: 90 volume: 2668.5(0) crystal system: cubic
6.210000, 6.467690
6.220000, 9.491570
6.230000, 17.45771
6.240000, 13.48209
6.250000, 13.50616
6.260000, 6.529789
6.270000, 8.552361
6.280000, 14.57386
6.290000, 1.405472
6.300000, 10.61337
6.310000, 12.82787
6.320000, 12.84547
6.330000, 6.852966
6.340000, 7.870094
6.350000, 14.87973
6.360000, 7.889820
6.370000, 5.913090
6.380000, 6.923103
6.390000, 11.91551
6.400000, 9.924599
6.410000, 14.93549
6.420000, 16.94746
6.430000, 12.94396
6.440000, 5.955997
6.450000, 3.960175
6.460000, 23.97341
6.470000, 19.98695
6.480000, 7.999485
6.490000, 14.78583
6.500000, 22.79899
6.510000, 13.81247
6.520000, 18.82625
6.530000, 11.84032
6.540000, 3.834209
6.550000, 11.84699
6.560000, 2.851322
6.570000, 3.866238
6.580000, 10.88147
6.590000, 23.89683
6.600000, 23.91250
6.610000, 11.91917
6.620000, 15.93545
6.630000, 17.95219
6.640000, 8.969246
6.650000, 18.98626
6.660000, 2.004257
6.670000, 15.02090
6.680000, 10.03784
6.690000, 6.055740
6.700000, 9.073933
6.710000, 8.092396
6.720000, 0.1111300
6.730000, 20.13011
6.740000, 28.14878
6.750000, 10.09698
6.760000, 10.11619
6.770000, 4.135662
6.780000, 13.15539
6.790000, 15.17537
6.800000, 7.195351
6.810000, 31.21556
6.820000, 18.23600
6.830000, 7.256664
6.840000, 7.299843
6.850000, 7.320408
6.860000, 5.345039
6.870000, 13.23948
6.880000, 6.260647
6.890000, 14.28202
6.900000, 9.303581
6.910000, 0.6746560
6.920000, 8.347202
6.930000, 9.369255
6.940000, 9.391499
6.950000, 5.413944
6.960000, 0.4379840
6.970000, 5.628002
6.980000, 10.65253
6.990000, 18.67724
7.000000, 2.297874
7.010000, 12.72673
7.020000, 18.75151
7.030000, 5.776459
7.040000, 8.801579
7.050000, 0.8268700
7.060000, 9.854252
7.070000, 7.881798
7.080000, 7.909519
7.090000, 6.937405
7.100000, 8.965446
7.110000, 11.87862
7.120000, 12.17844
7.130000, 20.20824
7.140000, 8.443130
7.150000, 9.471882
7.160000, 17.50064
7.170000, 6.529533
7.180000, 3.558540
7.190000, 1.587662
7.200000, 12.61633
7.210000, 0.3548770
7.220000, 0.3260570
7.230000, 8.702805
7.240000, 13.73648
7.250000, 14.76554
7.260000, 11.80754
7.270000, 18.73697
7.280000, 3.766285
7.290000, 1.922161
7.300000, 6.951839
7.310000, 17.98145
7.320000, 5.011097
7.330000, 7.040821
7.340000, 23.07060
7.350000, 14.10044
7.360000, 4.131111
7.370000, 2.838173
7.380000, 15.19191
7.390000, 6.230221
7.400000, 8.236061
7.410000, 25.26582
7.420000, 19.30393
7.430000, 10.33393
7.440000, 7.372047
7.450000, 1.402020
7.460000, 13.43198
7.470000, 13.46193
7.480000, 11.49187
7.490000, 14.45900
7.500000, 3.511063
7.510000, 3.517178
7.520000, 4.545418
7.530000, 12.57372
7.540000, 8.602009
7.550000, 7.630344
7.560000, 0.3412860
7.570000, 3.686966
7.580000, 13.71525
7.590000, 4.743641
7.600000, 13.77206
7.610000, 14.96397
7.620000, 11.99243
7.630000, 7.020967
7.640000, 12.04952
7.650000, 3.078112
7.660000, 14.11293
7.670000, 2.147692
7.680000, 10.17629
7.690000, 16.20586
7.700000, 8.235428
7.710000, 24.26500
7.720000, 8.294552
7.730000, 10.32411
7.740000, 11.35535
7.750000, 9.728643
7.760000, 12.75829
7.770000, 4.787910
7.780000, 14.81750
7.790000, 13.84706
7.800000, 3.876585
7.810000, 11.90612
7.820000, 4.964041
7.830000, 4.998848
7.840000, 9.028259
7.850000, 1.057621
7.860000, 13.08693
7.870000, 24.11619
7.880000, 9.296444
7.890000, 13.32560
7.900000, 12.35469
7.910000, 21.38372
7.920000, 12.41010
7.930000, 11.52626
7.940000, 13.55509
7.950000, 5.584171
7.960000, 12.61320
7.970000, 14.64216
7.980000, 8.671043
7.990000, 6.700113
8.000000, 10.72910
8.010000, 9.758015
8.020000, 28.78684
8.030000, 0.1844160
8.040000, 3.843985
8.050000, 0.8722990
8.060000, 13.90049
8.070000, 10.92991
8.080000, 17.95924
8.090000, 5.988495
8.100000, 13.01766
8.110000, 3.028292
8.120000, 6.057278
8.130000, 9.086941
8.140000, 10.11651
8.150000, 7.470776
8.160000, 2.480185
8.170000, 16.54755
8.180000, 13.57524
8.190000, 5.602806
8.200000, 4.526867
8.210000, 3.554201
8.220000, 18.58141
8.230000, 5.608505
8.240000, 20.63548
8.250000, 9.119753
8.260000, 14.14651
8.270000, 16.17684
8.280000, 8.203297
8.290000, 20.22960
8.300000, 9.255749
8.310000, 3.717754
8.320000, 2.306248
8.330000, 2.669922
8.340000, 11.35195
8.350000, 29.37366
8.360000, 11.39522
8.370000, 20.41661
8.380000, 6.437832
8.390000, 14.45889
8.400000, 12.47980
8.410000, 11.48764
8.420000, 18.49616
8.430000, 1.516567
8.440000, 5.536768
8.450000, 0.5568050
8.460000, 5.576525
8.470000, 9.596523
8.480000, 1.339586
8.490000, 15.67895
8.500000, 3.697319
8.510000, 13.71551
8.520000, 5.733540
8.530000, 6.751396
8.540000, 23.76908
8.550000, 8.963863
8.560000, 9.981197
8.570000, 13.84514
8.580000, 0.8621160
8.590000, 14.99579
8.600000, 10.01244
8.610000, 1.028906
8.620000, 16.04511
8.630000, 1.061138
8.640000, 3.076904
8.650000, 5.092491
8.660000, 11.10789
8.670000, 16.12311
8.680000, 7.138149
8.690000, 5.153294
8.700000, 7.972258
8.710000, 10.98704
8.720000, 20.00166
8.730000, 7.016098
8.740000, 6.030361
8.750000, 13.04445
8.760000, 13.04504
8.770000, 13.05877
8.780000, 21.07234
8.790000, 8.085728
8.800000, 1.901058
8.810000, 7.110542
8.820000, 8.121971
8.830000, 10.13323
8.840000, 7.144310
8.850000, 1.155214
8.860000, 1.165888
8.870000, 13.17633
8.880000, 3.186590
8.890000, 17.19667
8.900000, 34.20658
8.910000, 14.21630
8.920000, 14.22585
8.930000, 2.235214
8.940000, 4.755615
8.950000, 8.250420
8.960000, 4.256281
8.970000, 8.261959
8.980000, 11.26745
8.990000, 11.27277
9.000000, 4.277908
9.010000, 0.2828640
9.020000, 1.287340
9.030000, 9.291586
9.040000, 14.29565
9.050000, 12.29787
9.060000, 24.30158
9.070000, 1.694893
9.080000, 11.30712
9.090000, 11.30895
9.100000, 13.31061
9.110000, 9.312252
9.120000, 0.6862750
9.130000, 12.31422
9.140000, 15.31454
9.150000, 18.31687
9.160000, 11.31684
9.170000, 19.31662
9.180000, 15.37051
9.190000, 4.369936
9.200000, 7.369188
9.210000, 19.36826
9.220000, 18.36715
9.230000, 5.343571
9.240000, 10.34211
9.250000, 12.33661
9.260000, 18.50793
9.270000, 11.50765
9.280000, 14.50719
9.290000, 3.506540
9.300000, 8.505707
9.310000, 15.50479
9.320000, 8.678795
9.330000, 9.677498
9.340000, 4.323997
9.350000, 0.6715300
9.360000, 5.487345
9.370000, 9.492313
9.380000, 6.487082
9.390000, 6.482634
9.400000, 15.47847
9.410000, 4.474129
9.420000, 15.46961
9.430000, 16.46491
9.440000, 6.532433
9.450000, 4.458618
9.460000, 1.449497
9.470000, 6.440163
9.480000, 4.430660
9.490000, 4.420982
9.500000, 3.411135
9.510000, 16.13006
9.520000, 4.118986
9.530000, 15.90280
9.540000, 5.892752
9.550000, 9.882559
9.560000, 9.872229
9.570000, 6.861757
9.580000, 6.851151
9.590000, 6.840565
9.600000, 7.829849
9.610000, 8.819065
9.620000, 10.80822
9.630000, 18.79253
9.640000, 1.781435
9.650000, 2.757368
9.660000, 12.74601
9.670000, 0.2645630
9.680000, 10.59804
9.690000, 4.586777
9.700000, 7.575403
9.710000, 15.56403
9.720000, 13.55254
9.730000, 6.540951
9.740000, 2.470142
9.750000, 14.51710
9.760000, 11.50423
9.770000, 10.49204
9.780000, 1.529106
9.790000, 6.457441
9.800000, 8.443890
9.810000, 5.422182
9.820000, 14.40875
9.830000, 18.38708
9.840000, 15.37348
9.850000, 19.35979
9.860000, 8.346012
9.870000, 5.332157
9.880000, 25.31822
9.890000, 10.30420
9.900000, 8.290966
9.910000, 8.277647
9.920000, 13.26425
9.930000, 12.25079
9.940000, 11.23726
9.950000, 6.223654
9.960000, 19.21006
9.970000, 19.19640
9.980000, 23.18314
9.990000, 13.16981
10.00000, 28.99296
10.01000, 26.97997
10.02000, 22.96694
10.03000, 21.95386
10.04000, 5.940729
10.05000, 15.92133
10.06000, 2.901947
10.07000, 7.888683
10.08000, 9.875383
10.09000, 4.862041
10.10000, 10.84866
10.11000, 12.83525
10.12000, 8.821795
10.13000, 7.806705
10.14000, 6.449539
10.15000, 13.43603
10.16000, 16.42250
10.17000, 7.408985
10.18000, 9.395456
10.19000, 7.381927
10.20000, 3.368399
10.21000, 10.32644
10.22000, 11.30756
10.23000, 22.29404
10.24000, 5.280535
10.25000, 4.267044
10.26000, 10.25356
10.27000, 6.089048
10.28000, 12.07560
10.29000, 23.06218
