##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
##CELL PARAMETERS=a: 6.9500(3) b: 8.6352(7) c: 5.7641(6) alpha: 90. beta: 104.883(6) gamma: 90. volume: 334.33(4) crystal system: monoclinic
8.050, 3.389
8.060, 4.399
8.070, 11.407
8.080, 1.418
8.090, 4.492
8.100, 6.502
8.110, 8.513
8.120, 2.523
8.130, 4.533
8.140, 6.543
8.150, 3.553
8.160, 5.562
8.170, 3.571
8.180, 8.565
8.190, 6.575
8.200, 6.583
8.210, 0.593
8.220, 3.591
8.230, 1.403
8.240, 0.413
8.250, 0.423
8.260, 7.432
8.270, 3.435
8.280, 6.445
8.290, 3.454
8.300, 7.464
8.310, 3.473
8.320, 3.483
8.330, 3.492
8.340, 0.496
8.350, 2.516
8.360, 9.525
8.370, 3.534
8.380, 6.543
8.390, 1.551
8.400, 5.561
8.410, 5.569
8.420, 2.578
8.430, 3.413
8.440, 4.594
8.450, 1.601
8.460, 1.608
8.470, 4.634
8.480, 4.478
8.490, 3.485
8.500, 0.492
8.510, 7.499
8.520, 3.563
8.530, 10.567
8.540, 6.631
8.550, 0.638
8.560, 2.642
8.570, 3.651
8.580, 3.657
8.590, 0.336
8.600, 5.670
8.610, 0.676
8.620, 4.656
8.630, 1.662
8.640, 4.668
8.650, 1.326
8.660, 0.321
8.670, 1.316
8.680, 6.689
8.690, 3.694
8.700, 0.698
8.710, 9.703
8.720, 8.707
8.730, 6.712
8.740, 0.776
8.750, 10.781
8.760, 9.787
8.770, 5.792
8.780, 1.797
8.790, 3.802
8.800, 5.807
8.810, 1.812
8.820, 3.817
8.830, 5.822
8.840, 4.885
8.850, 10.890
8.860, 1.895
8.870, 7.900
8.880, 5.904
8.890, 10.909
8.900, 11.914
8.910, 10.918
8.920, 4.974
8.930, 5.973
8.940, 13.977
8.950, 4.982
8.960, 4.986
8.970, 0.927
8.980, 6.931
8.990, 1.936
9.000, 1.940
9.010, 1.944
9.020, 6.948
9.030, 7.952
9.040, 2.956
9.050, 1.960
9.060, 4.964
9.070, 2.968
9.080, 0.972
9.090, 8.976
9.100, 2.982
9.110, 2.986
9.120, 1.991
9.130, 3.995
9.140, 4.999
9.150, 12.003
9.160, 1.007
9.170, 5.010
9.180, 1.014
9.190, 4.069
9.200, 4.073
9.210, 0.077
9.220, 7.081
9.230, 6.085
9.240, 2.089
9.250, 3.093
9.260, 6.098
9.270, 2.102
9.280, 0.894
9.290, 5.110
9.300, 6.113
9.310, 3.117
9.320, 5.120
9.330, 4.124
9.340, 5.127
9.350, 3.131
9.360, 6.134
9.370, 5.137
9.380, 8.141
9.390, 2.144
9.400, 3.147
9.410, 1.148
9.420, 6.267
9.430, 2.271
9.440, 8.273
9.450, 5.275
9.460, 6.278
9.470, 10.282
9.480, 3.286
9.490, 5.290
9.500, 2.293
9.510, 3.297
9.520, 4.301
9.530, 0.304
9.540, 0.271
9.550, 5.274
9.560, 5.277
9.570, 9.281
9.580, 5.284
9.590, 5.342
9.600, 3.345
9.610, 7.348
9.620, 2.352
9.630, 7.134
9.640, 6.137
9.650, 2.140
9.660, 0.857
9.670, 0.146
9.680, 5.149
9.690, 2.210
9.700, 7.212
9.710, 0.785
9.720, 2.218
9.730, 0.779
9.740, 4.224
9.750, 2.226
9.760, 0.228
9.770, 5.231
9.780, 5.233
9.790, 2.209
9.800, 7.212
9.810, 6.213
9.820, 6.216
9.830, 1.218
9.840, 5.220
9.850, 8.135
9.860, 3.113
9.870, 4.150
9.880, 5.152
9.890, 1.155
9.900, 8.156
9.910, 9.158
9.920, 8.160
9.930, 0.838
9.940, 2.163
9.950, 6.164
9.960, 7.166
9.970, 5.167
9.980, 8.168
9.990, 6.169
10.000, 3.171
10.010, 3.174
10.020, 6.175
10.030, 0.824
10.040, 8.176
10.050, 2.177
10.060, 2.177
10.070, 2.178
10.080, 4.178
10.090, 5.178
10.100, 2.178
10.110, 0.816
10.120, 5.183
10.130, 8.183
10.140, 3.190
10.150, 5.190
10.160, 10.190
10.170, 2.190
10.180, 9.189
10.190, 4.189
10.200, 12.189
10.210, 7.189
10.220, 3.189
10.230, 2.189
10.240, 5.188
10.250, 3.188
10.260, 1.188
10.270, 5.187
10.280, 1.258
10.290, 0.258
10.300, 5.258
10.310, 0.257
10.320, 1.257
10.330, 2.256
10.340, 3.256
10.350, 1.255
10.360, 4.255
10.370, 6.264
10.380, 0.737
10.390, 3.273
10.400, 1.272
