##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
##CELL PARAMETERS=a: 8.891(1) b: 5.6995(3) c: 10.228(2) alpha: 90 beta: 114.99(1) gamma: 90 volume: 469.72(9) crystal system: monoclinic
7.470000, 7.070528
7.480000, 3.100372
7.490000, 1.130260
7.500000, 11.16061
7.510000, 11.22061
7.520000, 0.2510200
7.530000, 3.281454
7.540000, 5.337334
7.550000, 16.36781
7.560000, 2.398296
7.570000, 6.428795
7.580000, 8.667515
7.590000, 9.698021
7.600000, 6.728514
7.610000, 9.759003
7.620000, 0.7894760
7.630000, 5.819958
7.640000, 0.1495610
7.650000, 4.880743
7.660000, 7.911039
7.670000, 14.94133
7.680000, 13.97162
7.690000, 12.00190
7.700000, 4.032169
7.710000, 7.062422
7.720000, 9.092663
7.730000, 6.122887
7.740000, 2.153088
7.750000, 21.18327
7.760000, 5.213434
7.770000, 9.243576
7.780000, 7.273695
7.790000, 10.30379
7.800000, 7.334740
7.810000, 10.36628
7.820000, 14.39778
7.830000, 11.42926
7.840000, 5.460705
7.850000, 11.49213
7.860000, 5.524403
7.870000, 11.55666
7.880000, 4.588879
7.890000, 15.62107
7.900000, 10.65323
7.910000, 14.68536
7.920000, 5.717451
7.930000, 12.74953
7.940000, 3.218426
7.950000, 8.811783
7.960000, 5.749329
7.970000, 3.779490
7.980000, 8.809628
7.990000, 17.83974
8.000000, 11.86982
8.010000, 9.987896
8.020000, 12.01962
8.030000, 0.9503940
8.040000, 3.078903
8.050000, 7.108168
8.060000, 0.1373920
8.070000, 2.166500
8.080000, 2.195570
8.090000, 12.22460
8.100000, 14.25360
8.110000, 3.282555
8.120000, 5.577644
8.130000, 5.606686
8.140000, 5.635670
8.150000, 11.66459
8.160000, 5.693445
8.170000, 4.730919
8.180000, 4.760649
8.190000, 11.79031
8.200000, 2.819902
8.210000, 6.849430
8.220000, 13.80226
8.230000, 4.831646
8.240000, 2.860966
8.250000, 9.890213
8.260000, 9.919403
8.270000, 0.9485190
8.280000, 9.977554
8.290000, 7.006521
8.300000, 3.5416000E-02
8.310000, 2.178305
8.320000, 6.206844
8.330000, 9.235302
8.340000, 14.26368
8.350000, 3.291969
8.360000, 13.08576
8.370000, 1.886108
8.380000, 1.859238
8.390000, 13.16638
8.400000, 3.191921
8.410000, 0.7826140
8.420000, 15.15250
8.430000, 10.17720
8.440000, 7.201828
8.450000, 0.7736210
8.460000, 12.25185
8.470000, 3.280273
8.480000, 2.305599
8.490000, 8.330851
8.500000, 7.356026
8.510000, 8.381130
8.520000, 0.4061620
8.530000, 6.431507
8.540000, 5.456776
8.550000, 16.48197
8.560000, 0.5070920
8.570000, 5.532112
8.580000, 7.557058
8.590000, 4.581928
8.600000, 3.606720
8.610000, 15.63143
8.620000, 0.4673770
8.630000, 1.491926
8.640000, 10.61267
8.650000, 7.637079
8.660000, 3.661409
8.670000, 3.685667
8.680000, 5.709846
8.690000, 6.733950
8.700000, 0.2420250
8.710000, 15.78162
8.720000, 2.804966
8.730000, 0.1715510
8.740000, 11.85159
8.750000, 9.874641
8.760000, 1.897615
8.770000, 3.079491
8.780000, 9.941525
8.790000, 19.96246
8.800000, 7.983307
8.810000, 5.004072
8.820000, 6.024755
8.830000, 14.04535
8.840000, 15.05124
8.850000, 10.07167
8.860000, 7.092022
8.870000, 9.112293
8.880000, 7.132479
8.890000, 9.152588
8.900000, 4.172611
8.910000, 8.192554
8.920000, 12.21242
8.930000, 6.232193
8.940000, 14.25189
8.950000, 2.271500
8.960000, 6.291031
8.970000, 17.31048
8.980000, 9.329842
8.990000, 4.553038
9.000000, 22.71229
9.010000, 6.731453
9.020000, 6.751137
9.030000, 3.770718
9.040000, 7.790194
9.050000, 7.810959
9.060000, 14.83162
9.070000, 9.852177
9.080000, 8.872625
9.090000, 7.893293
9.100000, 13.91386
9.110000, 7.934317
9.120000, 1.954670
9.130000, 6.974918
9.140000, 4.786272
9.150000, 0.1936760
9.160000, 7.826517
9.170000, 1.846617
9.180000, 9.866621
9.190000, 10.88653
9.200000, 1.093651
9.210000, 0.9252820
9.220000, 9.944103
9.230000, 9.893177
9.240000, 2.912642
9.250000, 10.93201
9.260000, 2.947863
9.270000, 12.96706
9.280000, 3.986164
9.290000, 18.00782
9.300000, 8.026749
9.310000, 3.954414
9.320000, 4.062052
9.330000, 13.07843
9.340000, 10.09472
9.350000, 4.110920
9.360000, 0.3596530
9.370000, 4.375572
9.380000, 20.39139
9.390000, 7.407146
9.400000, 4.422802
9.410000, 18.43836
9.420000, 4.454161
9.430000, 12.46986
9.440000, 13.48546
9.450000, 4.502962
9.460000, 2.518360
9.470000, 2.532618
9.480000, 2.547813
9.490000, 10.56291
9.500000, 1.440022
9.510000, 2.573862
9.520000, 14.58765
9.530000, 10.60133
9.540000, 4.614922
9.550000, 0.6284140
9.560000, 17.64279
9.570000, 6.521584
9.580000, 4.401848
9.590000, 11.41597
9.600000, 14.43001
9.610000, 19.37736
9.620000, 12.39166
9.630000, 11.40587
9.640000, 19.42002
9.650000, 13.37043
9.660000, 0.3844150
9.670000, 3.398298
9.680000, 11.41211
9.690000, 12.42584
9.700000, 1.439728
9.710000, 1.453548
9.720000, 6.556583
9.730000, 13.57025
9.740000, 10.58384
9.750000, 5.597347
9.760000, 8.608101
9.770000, 3.621456
9.780000, 3.634733
9.790000, 8.647932
9.800000, 14.66106
9.810000, 15.67410
9.820000, 7.685663
9.830000, 1.300394
9.840000, 12.71261
9.850000, 10.72555
9.860000, 5.738411
9.870000, 16.75119
9.880000, 2.763906
9.890000, 4.776543
9.900000, 16.75950
9.910000, 13.77198
9.920000, 6.784397
9.930000, 3.771318
9.940000, 13.78360
9.950000, 5.795807
9.960000, 4.807949
9.970000, 3.611811
9.980000, 8.623840
9.990000, 13.63582
10.00000, 8.647753
10.01000, 12.65963
10.02000, 4.671471
10.03000, 11.68326
10.04000, 9.695232
10.05000, 11.70716
10.06000, 17.71904
10.07000, 7.730881
10.08000, 14.74281
10.09000, 7.754688
10.10000, 8.766525
10.11000, 3.778316
10.12000, 16.79006
10.13000, 3.801765
10.14000, 11.81342
10.15000, 5.825037
10.16000, 10.83661
10.17000, 6.848129
10.18000, 3.140388
10.19000, 2.117899
10.20000, 2.890507
10.21000, 2.041021
10.22000, 8.049335
10.23000, 10.05759
10.24000, 8.392183
10.25000, 11.40073
10.26000, 4.409203
10.27000, 10.41761
10.28000, 6.496590
10.29000, 11.50530
10.30000, 5.513948
10.31000, 7.522522
10.32000, 11.53103
10.33000, 0.5394640
10.34000, 4.548714
10.35000, 9.526634
10.36000, 5.535747
10.37000, 9.544792
10.38000, 9.553770
10.39000, 8.562684
10.40000, 8.483500
10.41000, 1.490573
10.42000, 4.690645
10.43000, 7.699621
10.44000, 4.708725
10.45000, 13.71776
10.46000, 4.726757
10.47000, 5.735693
10.48000, 0.7445550
10.49000, 3.753327
10.50000, 10.76203
10.51000, 7.504676
10.52000, 7.513447
10.53000, 6.522160
10.54000, 5.530827
10.55000, 3.460562
10.56000, 5.538319
10.57000, 10.54484
10.58000, 4.556836
10.59000, 3.563258
10.60000, 2.569636
10.61000, 5.575972
10.62000, 16.58226
10.63000, 1.588501
10.64000, 0.5946980
10.65000, 3.600832
10.66000, 2.606922
10.67000, 4.612972
10.68000, 7.618984
10.69000, 8.624949
10.70000, 3.516705
10.71000, 8.522694
10.72000, 11.52865
10.73000, 15.53458
10.74000, 2.540849
10.75000, 6.543378
10.76000, 7.549583
10.77000, 8.556344
10.78000, 5.563656
10.79000, 13.57093
10.80000, 9.578172
10.81000, 6.585686
10.82000, 7.593163
10.83000, 5.600607
10.84000, 5.608013
10.85000, 1.615681
10.86000, 9.620288
10.87000, 5.627884
10.88000, 10.63554
10.89000, 4.693829
10.90000, 14.70178
10.91000, 1.290315
10.92000, 14.71685
10.93000, 5.723974
10.94000, 14.73106
10.95000, 3.738120
10.96000, 16.74516
10.97000, 23.75215
10.98000, 4.759121
10.99000, 12.76606
11.00000, 17.77295
11.01000, 4.779823
11.02000, 12.83542
11.03000, 18.74596
11.04000, 6.753403
11.05000, 14.76014
11.06000, 16.76685
11.07000, 23.77352
11.08000, 30.78016
11.09000, 22.78677
