##NAMES=Cyanotrichite
##RRUFFID=R070500
##IDEAL CHEMISTRY=Cu^2+^_4_Al_2_S^6+^O_4_(OH)_12_&#183;2H_2_O
##LOCALITY=Vieja mine, Portrerillos, Chanaral Province, Atacama Region, Chile
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Radial aggregates of sky-blue fibers associated with green brochantite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070500
12.41000, 3.674400
12.44000, 1.415375
12.47000, 2.706017
12.50000, 2.947205
12.53000, 1.742004
12.56000, 1.785324
12.59000, 3.899918
12.62000, 2.715919
12.65000, 1.909081
12.68000, 1.157341
12.71000, 0.9399030
12.74000, 0.7203520
12.77000, 1.005753
12.80000, 1.013260
12.83000, 2.165222
12.86000, 0.2950440
12.89000, 4.794991
12.92000, 6.821625
12.95000, 10.41087
12.98000, 13.55132
13.01000, 15.48944
13.04000, 16.18716
13.07000, 19.50950
13.10000, 21.98338
13.13000, 23.70978
13.16000, 22.47568
13.19000, 21.63309
13.22000, 21.78417
13.25000, 20.12402
13.28000, 17.54744
13.31000, 13.40614
13.34000, 10.26646
13.37000, 10.94213
13.40000, 8.814316
13.43000, 6.663231
13.46000, 8.913956
13.49000, 11.54759
13.52000, 13.74381
13.55000, 14.22875
13.58000, 14.44025
13.61000, 14.58116
13.64000, 13.38594
13.67000, 11.96888
13.70000, 10.32510
13.73000, 9.351578
13.76000, 6.962112
13.79000, 5.746925
13.82000, 1.772385
13.85000, 2.820229
13.88000, 1.442116
13.91000, 0.3481450
13.94000, 3.086098
13.97000, 2.853363
14.00000, 1.141182
14.03000, 3.187866
14.06000, 3.141541
14.09000, 4.193710
14.12000, 5.712067
14.15000, 4.189400
14.18000, 5.682808
14.21000, 5.903481
14.24000, 4.838409
14.27000, 6.436401
14.30000, 6.217842
14.33000, 6.007431
14.36000, 7.145248
14.39000, 8.099808
