##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060307
13.69000, 733.6978
13.72000, 677.5466
13.75000, 637.9121
13.78000, 605.4736
13.81000, 587.4814
13.84000, 572.5251
13.87000, 555.1443
13.90000, 561.5898
13.93000, 574.6406
13.96000, 575.1670
13.99000, 568.1787
14.02000, 557.9561
14.05000, 545.7341
14.08000, 533.1321
14.11000, 533.1079
14.14000, 534.0530
14.17000, 542.8408
14.20000, 558.5520
14.23000, 574.3511
14.26000, 602.1553
14.29000, 630.2146
14.32000, 659.3259
14.35000, 693.9958
14.38000, 736.6362
14.41000, 777.4795
14.44000, 815.5759
14.47000, 840.6467
14.50000, 860.0247
14.53000, 875.5686
14.56000, 873.8643
14.59000, 872.2520
14.62000, 859.4314
14.65000, 844.5828
14.68000, 808.0359
14.71000, 761.6812
14.74000, 696.4780
14.77000, 627.0862
14.80000, 566.1853
14.83000, 497.6763
14.86000, 437.1277
14.89000, 415.3398
14.92000, 404.1331
14.95000, 407.3372
14.98000, 421.5845
15.01000, 444.6365
15.04000, 487.4514
15.07000, 542.0471
15.10000, 605.6428
15.13000, 669.7114
15.16000, 722.9937
15.19000, 760.5466
15.22000, 778.5706
15.25000, 763.3347
15.28000, 725.3782
15.31000, 676.2415
15.34000, 609.2832
15.37000, 536.3745
15.40000, 456.5142
15.43000, 373.4331
15.46000, 288.4502
15.49000, 219.0264
15.52000, 168.3308
15.55000, 130.4836
15.58000, 99.50439
15.61000, 68.69360
15.64000, 50.67358
15.67000, 30.42554
15.70000, 29.57788
15.73000, 25.72803
15.76000, 30.93579
15.79000, 44.52075
15.82000, 53.86304
15.85000, 72.84277
15.88000, 115.9390
15.91000, 170.4121
15.94000, 211.8225
15.97000, 244.9792
16.00000, 282.3726
16.03000, 314.8926
16.06000, 332.6462
16.09000, 336.3472
16.12000, 325.3518
16.15000, 296.0649
16.18000, 270.3086
16.21000, 241.5825
