##NAMES=Arrojadite-(KNa)
##RRUFFID=R050107
##IDEAL CHEMISTRY=KNa_3_(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_
##LOCALITY=Big-Fish River, Yukon Territory, Canada
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Yellowish green tabular crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R050107
##CELL PARAMETERS=a: 24.672(2) b: 10.0692(8) c: 16.573(1) alpha: 90. beta: 106.534(5) gamma: 90. volume: 3947.2(3) crystal system: monoclinic
5.000, 0.000
5.010, 0.012
5.020, 33.950
5.030, 5.991
5.040, 18.274
5.050, 0.166
5.060, 17.601
5.070, 15.478
5.080, 30.388
5.090, 7.236
5.100, 35.277
5.110, 8.407
5.120, 32.430
5.130, 19.369
5.140, 11.549
5.150, 11.298
5.160, 15.024
5.170, 19.732
5.180, 28.427
5.190, 9.116
5.200, 0.478
5.210, 19.941
5.220, 25.382
5.230, 29.945
5.240, 34.447
5.250, 28.965
5.260, 19.512
5.270, 22.070
5.280, 2.359
5.290, 10.225
5.300, 22.823
5.310, 25.429
5.320, 4.044
5.330, 11.668
5.340, 29.299
5.350, 20.938
5.360, 7.585
5.370, 14.271
5.380, 15.962
5.390, 20.656
5.400, 10.415
5.410, 28.065
5.420, 23.777
5.430, 16.492
5.440, 17.210
5.450, 0.447
5.460, 24.265
5.470, 15.982
5.480, 8.706
5.490, 23.440
5.500, 23.178
5.510, 20.273
5.520, 15.014
5.530, 20.759
5.540, 20.506
5.550, 39.257
5.560, 2.011
5.570, 12.768
5.580, 8.720
5.590, 13.479
5.600, 14.242
5.610, 20.007
5.620, 15.773
5.630, 30.545
5.640, 20.325
5.650, 30.106
5.660, 11.891
5.670, 3.679
5.680, 11.469
5.690, 3.262
5.700, 15.056
5.710, 22.855
5.720, 18.655
5.730, 8.626
5.740, 30.421
5.750, 3.216
5.760, 8.015
5.770, 18.820
5.780, 23.627
5.790, 22.436
5.800, 29.413
5.810, 13.211
5.820, 7.011
5.830, 24.814
5.840, 17.619
5.850, 29.426
5.860, 14.235
5.870, 24.045
5.880, 27.858
5.890, 0.040
5.900, 9.488
5.910, 23.306
5.920, 32.127
5.930, 11.949
5.940, 25.978
5.950, 5.802
5.960, 31.630
5.970, 16.749
5.980, 19.577
5.990, 26.409
6.000, 18.420
6.010, 2.746
6.020, 20.090
6.030, 18.928
6.040, 0.821
6.050, 29.661
6.060, 25.504
6.070, 40.347
6.080, 22.194
6.090, 29.043
6.100, 19.893
6.110, 28.743
6.120, 15.595
6.130, 21.448
6.140, 17.302
6.150, 1.842
6.160, 21.015
6.170, 12.874
6.180, 15.733
6.190, 3.596
6.200, 2.523
6.210, 12.310
6.220, 7.176
6.230, 27.042
6.240, 42.912
6.250, 7.762
6.260, 26.837
6.270, 14.912
6.280, 7.863
6.290, 20.739
6.300, 37.612
6.310, 11.483
6.320, 8.355
6.330, 22.228
6.340, 23.251
6.350, 2.120
6.360, 12.991
6.370, 7.863
6.380, 33.737
6.390, 27.614
6.400, 16.383
6.410, 20.541
6.420, 0.400
6.430, 29.261
6.440, 12.124
6.450, 5.247
6.460, 3.514
6.470, 14.352
6.480, 38.063
6.490, 18.933
6.500, 15.805
6.510, 20.678
6.520, 17.787
6.530, 16.825
6.540, 13.702
6.550, 10.628
6.560, 15.510
6.570, 17.395
6.580, 25.280
6.590, 24.166
6.600, 1.929
6.610, 18.959
6.620, 9.851
6.630, 20.744
6.640, 27.724
6.650, 24.602
6.660, 19.496
6.670, 27.391
6.680, 30.287
6.690, 27.184
6.700, 9.083
6.710, 19.981
6.720, 38.881
6.730, 23.781
6.740, 17.682
6.750, 5.585
6.760, 17.488
6.770, 11.393
6.780, 13.297
6.790, 11.203
6.800, 13.110
6.810, 11.019
6.820, 11.928
6.830, 19.840
