##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
6.286400, 0.7805790
6.294700, 15.69989
6.303100, 28.30890
6.311400, 33.75677
6.319800, 7.490784
6.328100, 20.50330
6.336500, 10.63647
6.344900, 21.54077
6.353200, 10.69275
6.361600, 16.49463
6.369900, 19.04498
6.378300, 29.94366
6.386600, 13.27112
6.395000, 14.04633
6.403300, 22.56079
6.411700, 16.96472
6.420100, 16.57678
6.428400, 32.49774
6.436800, 28.23566
6.445100, 11.94171
6.453500, 16.59119
6.461800, 9.843689
6.470200, 4.803955
6.478600, 23.01166
6.486900, 13.19250
6.495300, 11.61633
6.503600, 24.64545
6.512000, 6.009949
6.520300, 38.72974
6.528700, 6.712891
6.537000, 2.044067
6.545400, 3.550232
6.553800, 3.392395
6.562100, 3.933899
6.570500, 3.342834
6.578800, 18.78955
6.587200, 18.82379
6.595500, 17.99670
6.603900, 26.84766
6.612200, 34.92755
6.620600, 18.78967
6.629000, 22.26758
6.637300, 9.601868
6.645700, 22.13385
6.654000, 3.665710
6.662400, 20.33698
6.670700, 2.439209
6.679100, 9.924316
6.687500, 30.02039
6.695800, 3.256226
6.704200, 13.27905
6.712500, 3.028076
6.720900, 20.91278
6.729200, 13.85962
6.737600, 20.81714
6.745900, 18.80328
6.754300, 12.64594
6.762700, 26.19598
6.771000, 0.2800900
6.779400, 8.723694
6.787700, 16.21143
6.796100, 11.64258
6.804400, 27.49799
6.812800, 11.87494
6.821100, 14.45905
6.829500, 18.40967
6.837900, 9.559082
6.846200, 9.102417
6.854600, 11.08875
6.862900, 30.71045
6.871300, 17.78992
6.879600, 42.63702
6.888000, 28.16193
6.896400, 7.835449
6.904700, 4.298950
6.913100, 12.44415
6.921400, 42.71588
6.929800, 6.344421
6.938100, 12.76001
6.946500, 20.72949
6.954800, 11.83667
6.963200, 14.58557
6.971600, 36.10767
6.979900, 23.17261
6.988300, 12.49438
6.996600, 13.88702
7.005000, 30.00262
7.013300, 24.37671
7.021700, 23.04565
